tm_fc,tm_ef,ta_min,ta_max
202302130600,202302160000,-2.0,5.0
202302130600,202302170000,-1.0,7.0
202302130600,202302180000,1.0,9.0
202302130600,202302190000,0.0,8.0
202302130600,202302200000,-2.0,6.0
202302130600,202302210000,-3.0,6.0
202302130600,202302220000,-1.0,8.0
202302130600,202302230000,-1.0,8.0
202302131800,202302160000,-1.0,5.0
202302131800,202302170000,-1.0,8.0
202302131800,202302180000,2.0,8.0
202302131800,202302190000,2.0,9.0
202302131800,202302200000,-2.0,5.0
202302131800,202302210000,-3.0,6.0
202302131800,202302220000,-2.0,8.0
202302131800,202302230000,0.0,9.0
202302140600,202302170000,-1.0,8.0
202302140600,202302180000,2.0,8.0
202302140600,202302190000,2.0,9.0
202302140600,202302200000,-2.0,5.0
202302140600,202302210000,-3.0,6.0
202302140600,202302220000,-2.0,8.0
202302140600,202302230000,0.0,9.0
202302140600,202302240000,0.0,9.0
202302141800,202302170000,-2.0,8.0
202302141800,202302180000,2.0,9.0
202302141800,202302190000,3.0,7.0
202302141800,202302200000,-3.0,4.0
202302141800,202302210000,-4.0,4.0
202302141800,202302220000,-3.0,6.0
202302141800,202302230000,-1.0,7.0
202302141800,202302240000,-1.0,9.0
202302150600,202302180000,2.0,9.0
202302150600,202302190000,3.0,7.0
202302150600,202302200000,-3.0,4.0
202302150600,202302210000,-4.0,4.0
202302150600,202302220000,-3.0,6.0
202302150600,202302230000,-1.0,7.0
202302150600,202302240000,-1.0,9.0
